0.1230,0.1191,0.1189,0.1169,0.1140,0.1052,0.1037,0.1037,0.1034,0.1007,0.1001,0.1006,0.1008,0.1013,0.0973,0.0974,0.0958,0.0876,0.0924,0.0967,0.0985
0.1252,0.1206,0.1151,0.1106,0.1066,0.0997,0.0982,0.0981,0.0964,0.0948,0.0928,0.0898,0.0885,0.0788,0.0729,0.0713,0.0707,0.0729,0.0743,0.0746,0.0745
0.1963,0.1918,0.1780,0.1753,0.1745,0.1748,0.1678,0.1649,0.1595,0.1576,0.1560,0.1549,0.1511,0.1428,0.1377,0.1324,0.1299,0.1344,0.1345,0.1341,0.1328
0.1519,0.1490,0.1353,0.1342,0.1309,0.1276,0.1235,0.1214,0.1180,0.1169,0.1155,0.1174,0.1168,0.1148,0.1150,0.1130,0.1117,0.1097,0.1075,0.1066,0.1001
0.0125,0.0127,0.0102,0.0089,0.0081,0.0082,0.0079,0.0078,0.0072,0.0071,0.0070,0.0075,0.0079,0.0085,0.0082,0.0066,0.0060,0.0052,0.0049,0.0042,0.0028
0.4293,0.4359,0.4382,0.4396,0.4404,0.4456,0.4501,0.4558,0.4588,0.4598,0.4598,0.4612,0.4622,0.4653,0.4691,0.4707,0.4737,0.4737,0.4770,0.4779,0.4802
0.5550,0.5613,0.5519,0.5400,0.5377,0.5397,0.5458,0.5582,0.5620,0.5568,0.5623,0.5573,0.5513,0.5551,0.5606,0.5616,0.5608,0.5583,0.5569,0.5550,0.5510
0.5754,0.5665,0.5418,0.5199,0.5054,0.4864,0.4780,0.4625,0.4473,0.4409,0.4314,0.4170,0.3953,0.3911,0.3814,0.3760,0.3553,0.3218,0.3130,0.3054,0.2900
0.4748,0.4589,0.4403,0.4261,0.4119,0.4005,0.3864,0.3657,0.3533,0.3447,0.3382,0.3169,0.2961,0.2756,0.2567,0.2409,0.2281,0.2013,0.1740,0.1692,0.1586
0.4995,0.4793,0.4658,0.4649,0.4359,0.4106,0.3920,0.3611,0.3332,0.3170,0.3019,0.2892,0.2824,0.2734,0.2586,0.2433,0.2430,0.2384,0.2255,0.2091,0.2012
0.3960,0.3804,0.3389,0.3114,0.2896,0.2640,0.2496,0.2318,0.2071,0.1767,0.1484,0.1253,0.1034,0.0952,0.0836,0.0656,0.0593,0.0544,0.0446,0.0370,0.0346
