0.0983,0.0981,0.0957,0.0943,0.0943,0.0968,0.0942,0.0950,0.0946,0.0962,0.0985,0.0940,0.0878,0.0791,0.0853,0.0850,0.0878,0.0850,0.0906,0.0893,0.0848,0.0836,0.0870,0.0870,0.0885,0.0891,0.0904,0.0923
0.0868,0.0873,0.0846,0.0801,0.0786,0.0746,0.0769,0.0745,0.0756,0.0750,0.0770,0.0754,0.0731,0.0710,0.0709,0.0694,0.0667,0.0620,0.0622,0.0631,0.0627,0.0657,0.0655,0.0620,0.0615,0.0624,0.0659,0.0673
0.0052,0.0054,0.0058,0.0050,0.0056,0.0040,0.0033,0.0034,0.0038,0.0037,0.0041,0.0033,0.0038,0.0042,0.0062,0.0051,0.0047,0.0032,0.0040,0.0045,0.0048,0.0069,0.0072,0.0061,0.0060,0.0062,0.0063,0.0069
0.0012,0.0011,0.0012,0.0010,0.0009,0.0009,0.0008,0.0008,0.0010,0.0007,0.0010,0.0007,0.0010,0.0011,0.0008,0.0010,0.0009,0.0008,0.0009,0.0012,0.0015,0.0013,0.0010,0.0010,0.0010,0.0011,0.0009,0.0009
0.0109,0.0121,0.0108,0.0100,0.0099,0.0075,0.0077,0.0070,0.0056,0.0057,0.0055,0.0056,0.0038,0.0045,0.0039,0.0022,0.0042,0.0021,0.0032,0.0030,0.0016,0.0009,0.0011,0.0009,0.0006,0.0000,0.0001,0.0010
0.0093,0.0068,0.0072,0.0064,0.0072,0.0046,0.0029,0.0041,0.0027,0.0024,0.0026,0.0020,0.0010,0.0014,0.0009,0.0007,0.0009,0.0008,0.0019,0.0015,0.0012,0.0006,0.0004,0.0015,0.0015,0.0012,0.0010,0.0005
0.0164,0.0125,0.0121,0.0099,0.0090,0.0094,0.0067,0.0095,0.0075,0.0067,0.0087,0.0073,0.0066,0.0059,0.0054,0.0055,0.0055,0.0077,0.0084,0.0099,0.0072,0.0049,0.0033,0.0047,0.0064,0.0057,0.0065,0.0044
0.0165,0.0155,0.0125,0.0134,0.0134,0.0102,0.0097,0.0087,0.0047,0.0039,0.0038,0.0045,0.0049,0.0045,0.0048,0.0054,0.0050,0.0056,0.0062,0.0072,0.0058,0.0044,0.0043,0.0043,0.0042,0.0047,0.0031,0.0027
0.0207,0.0183,0.0166,0.0159,0.0153,0.0123,0.0128,0.0111,0.0096,0.0083,0.0087,0.0081,0.0065,0.0054,0.0062,0.0057,0.0050,0.0049,0.0046,0.0056,0.0038,0.0051,0.0053,0.0068,0.0077,0.0083,0.0098,0.0091
0.0538,0.0558,0.0568,0.0558,0.0587,0.0601,0.0596,0.0527,0.0554,0.0565,0.0598,0.0611,0.0611,0.0613,0.0602,0.0592,0.0624,0.0659,0.0636,0.0628,0.0591,0.0608,0.0610,0.0629,0.0688,0.0731,0.0692,0.0637
0.1066,0.1058,0.1033,0.1050,0.1039,0.1040,0.1046,0.1034,0.1006,0.1028,0.1016,0.1009,0.0999,0.0996,0.0999,0.1046,0.1048,0.1024,0.0972,0.0944,0.0898,0.0923,0.0944,0.0953,0.0954,0.0986,0.0989,0.1002
0.0868,0.0867,0.0862,0.0859,0.0833,0.0852,0.0852,0.0867,0.0820,0.0836,0.0864,0.0836,0.0805,0.0812,0.0807,0.0770,0.0785,0.0755,0.0718,0.0643,0.0582,0.0596,0.0591,0.0571,0.0553,0.0560,0.0560,0.0542
0.0310,0.0248,0.0182,0.0149,0.0113,0.0082,0.0050,0.0050,0.0054,0.0070,0.0073,0.0054,0.0030,0.0022,0.0029,0.0022,0.0018,0.0015,0.0012,0.0002,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000
0.0239,0.0246,0.0245,0.0232,0.0217,0.0214,0.0181,0.0172,0.0182,0.0178,0.0155,0.0156,0.0145,0.0143,0.0131,0.0132,0.0110,0.0116,0.0118,0.0110,0.0084,0.0106,0.0077,0.0063,0.0064,0.0063,0.0059,0.0046
0.0209,0.0217,0.0198,0.0199,0.0209,0.0198,0.0185,0.0183,0.0186,0.0203,0.0181,0.0178,0.0187,0.0172,0.0165,0.0175,0.0163,0.0162,0.0163,0.0171,0.0177,0.0168,0.0162,0.0156,0.0156,0.0158,0.0157,0.0176
0.4839,0.4821,0.4825,0.4856,0.4885,0.4927,0.4852,0.4910,0.4895,0.4890,0.4900,0.4910,0.4858,0.4855,0.4896,0.4735,0.4845,0.4824,0.4893,0.4839,0.4796,0.4679,0.4852,0.4791,0.4778,0.4777,0.4814,0.4824
0.3271,0.3184,0.3086,0.3060,0.3059,0.3100,0.3035,0.3010,0.3002,0.3025,0.3019,0.3081,0.3205,0.3181,0.3150,0.3161,0.3121,0.3070,0.3096,0.3150,0.3254,0.3355,0.3384,0.3373,0.3385,0.3404,0.3482,0.3545
0.0898,0.0860,0.0829,0.0806,0.0767,0.0729,0.0757,0.0718,0.0695,0.0680,0.0687,0.0680,0.0730,0.0761,0.0796,0.0749,0.0786,0.0745,0.0768,0.0893,0.1056,0.1195,0.1268,0.1319,0.1391,0.1504,0.1635,0.1738
0.0131,0.0123,0.0118,0.0103,0.0074,0.0074,0.0064,0.0062,0.0060,0.0052,0.0052,0.0052,0.0046,0.0044,0.0051,0.0036,0.0028,0.0030,0.0031,0.0029,0.0069,0.0101,0.0165,0.0297,0.0324,0.0332,0.0379,0.0403
0.0041,0.0035,0.0020,0.0019,0.0026,0.0016,0.0008,0.0004,0.0002,0.0002,0.0004,0.0006,0.0004,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0004,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0002,0.0003
0.0008,0.0008,0.0007,0.0008,0.0009,0.0013,0.0012,0.0014,0.0015,0.0015,0.0015,0.0017,0.0013,0.0009,0.0011,0.0013,0.0012,0.0013,0.0016,0.0026,0.0026,0.0029,0.0034,0.0037,0.0045,0.0051,0.0054,0.0057
