0.0854,0.0812,0.0775,0.0683,0.0660,0.0685,0.0662,0.0601,0.0575,0.0605,0.0536,0.0516,0.0546,0.0549,0.0504,0.0441,0.0436,0.0411,0.0430,0.0406,0.0370,0.0377,0.0366,0.0347,0.0324,0.0329,0.0335,0.0349,0.0330,0.0302,0.0264,0.0261,0.0293,0.0296,0.0258
0.2344,0.2236,0.2173,0.2140,0.2064,0.2103,0.2061,0.1963,0.2042,0.2067,0.1998,0.1988,0.2033,0.2076,0.2113,0.2083,0.1946,0.2042,0.1988,0.1913,0.1785,0.1852,0.1857,0.1831,0.1734,0.1684,0.1678,0.1613,0.1617,0.1536,0.1451,0.1311,0.1298,0.1326,0.1175
0.2462,0.2477,0.2404,0.2425,0.2349,0.2273,0.2253,0.2181,0.2124,0.1977,0.1851,0.1749,0.1586,0.1601,0.1596,0.1618,0.1526,0.1523,0.1567,0.1588,0.1471,0.1526,0.1507,0.1540,0.1504,0.1432,0.1354,0.1267,0.1244,0.1290,0.1149,0.1112,0.1083,0.1080,0.0948
0.3267,0.3024,0.2917,0.2849,0.2829,0.2743,0.2596,0.2536,0.2495,0.2392,0.2353,0.2263,0.2000,0.1933,0.1813,0.1795,0.1762,0.1691,0.1705,0.1749,0.1696,0.1642,0.1628,0.1572,0.1537,0.1505,0.1496,0.1372,0.1200,0.1167,0.1052,0.0989,0.0893,0.0828,0.0740
0.3218,0.3089,0.2980,0.2932,0.2907,0.2851,0.2746,0.2616,0.2545,0.2554,0.2454,0.2415,0.2250,0.2109,0.2020,0.1984,0.1895,0.1713,0.1730,0.1752,0.1709,0.1630,0.1596,0.1593,0.1584,0.1551,0.1504,0.1434,0.1291,0.1319,0.1271,0.1192,0.1082,0.1024,0.0883
0.3916,0.3900,0.3815,0.3787,0.3746,0.3707,0.3694,0.3544,0.3443,0.3320,0.3235,0.3199,0.3122,0.2697,0.2762,0.2856,0.2820,0.2514,0.2400,0.2403,0.2377,0.2343,0.2284,0.2234,0.2196,0.2097,0.2087,0.2093,0.1931,0.1836,0.1813,0.1738,0.1643,0.1681,0.1670
0.4064,0.4082,0.4024,0.3952,0.3904,0.3821,0.3769,0.3651,0.3623,0.3610,0.3613,0.3586,0.3604,0.3219,0.3228,0.3297,0.3352,0.3280,0.3181,0.3239,0.3289,0.3308,0.3289,0.3238,0.3215,0.3225,0.3221,0.3200,0.3134,0.3017,0.2985,0.2858,0.2738,0.2547,0.2531
0.3888,0.3857,0.3841,0.3799,0.3852,0.3858,0.3759,0.3685,0.3542,0.3566,0.3567,0.3617,0.3554,0.3478,0.3321,0.3104,0.3158,0.3153,0.3094,0.3136,0.3173,0.3147,0.3118,0.3116,0.3034,0.3029,0.3029,0.3044,0.3050,0.3001,0.2953,0.2880,0.2879,0.2798,0.2918
0.3594,0.3531,0.3465,0.3458,0.3468,0.3428,0.3443,0.3419,0.3290,0.3272,0.3263,0.3265,0.3213,0.3149,0.3145,0.2932,0.2912,0.2978,0.2904,0.2860,0.2802,0.2761,0.2778,0.2730,0.2677,0.2570,0.2580,0.2600,0.2630,0.2647,0.2573,0.2535,0.2488,0.2481,0.2499
0.2792,0.2729,0.2642,0.2674,0.2580,0.2538,0.2627,0.2656,0.2632,0.2579,0.2573,0.2535,0.2526,0.2469,0.2457,0.2458,0.2373,0.2366,0.2372,0.2317,0.2218,0.2152,0.2108,0.2087,0.2082,0.2041,0.1987,0.1993,0.1916,0.1905,0.1830,0.1793,0.1759,0.1741,0.1677
0.2436,0.2409,0.2188,0.2201,0.2191,0.2148,0.2132,0.2153,0.2126,0.2100,0.2053,0.1977,0.1951,0.1902,0.1906,0.1844,0.1858,0.1805,0.1761,0.1726,0.1645,0.1567,0.1449,0.1396,0.1374,0.1366,0.1279,0.1238,0.1199,0.1104,0.1055,0.1006,0.0982,0.0894,0.0879
0.1834,0.1810,0.1715,0.1635,0.1562,0.1551,0.1522,0.1534,0.1548,0.1554,0.1553,0.1503,0.1432,0.1413,0.1401,0.1381,0.1344,0.1335,0.1338,0.1273,0.1193,0.1080,0.1004,0.0918,0.0915,0.0898,0.0862,0.0850,0.0855,0.0801,0.0750,0.0740,0.0708,0.0715,0.0733
